date,underlying price,sigma_t,MV_sigma,signal,strike price,time to expiration,call price,put price,call IV,putIV,call delta,put delta,call delta + put delta,call gamma,put gamma,stock shares,position delta,action,realized return,position total value,return,total wealth,ATM call price,ATM put price
2011/January/3,127.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+006,27.925,1.205,
2011/January/4,126.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+006,27.755,1.2,
2011/January/5,127.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+006,28.34,1.08,
2011/January/6,127.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+006,28.155,1.105,
2011/January/7,127.14,0.0540332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+006,27.9,1.11,
2011/January/10,126.98,0.0478922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+006,27.755,1.07,
2011/January/11,127.43,0.053936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+006,28.13,1.01,
2011/January/12,128.58,0.0760276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e+006,29.11,0.875,
2011/January/13,128.368,0.0751833,0.0614145,1,100,108,28.815,0.87,0.229742,0.284846,0.959334,-0.0751591,0.884175,0.00452366,0.00592313,-88.4175,1.33357e-017,1,0,-11320.3,-1.43184e-005,999986,28.815,0.87,
2011/January/14,129.3,0.0766176,0.0659313,3,100,107,29.71,0.74,0.230155,0.280558,0.963756,-0.0663842,0.897372,0.00410046,0.00545232,-88.4175,0.0131967,3,0,-11401.9,-8.16855e-005,999904,29.71,0.74,
2011/January/18,129.52,0.0677184,0.0698966,3,100,106,29.945,0.69,0.236664,0.279802,0.96219,-0.0631984,0.898992,0.00416002,0.00530305,-88.4175,0.0148167,3,0,-11421.2,-1.92687e-005,999885,29.945,0.69,
2011/January/19,128.25,0.119744,0.0830582,3,100,105,28.605,0.82,0.219488,0.285188,0.967335,-0.0727296,0.894605,0.004037,0.00588464,-88.4175,0.0104302,3,0,-11310.1,0.000111093,999996,28.605,0.82,
2011/January/20,128.08,0.0984464,0.087542,3,100,104,28.49,0.84,0.22841,0.287218,0.962081,-0.0741443,0.887936,0.00441134,0.0059664,-88.4175,0.00376106,3,0,-11295.2,1.4936e-005,1.00001e+006,28.49,0.84,
2011/January/21,128.37,0.100164,0.0925382,3,100,103,28.855,0.835,0.241799,0.29005,0.956135,-0.0733075,0.882827,0.00470209,0.00587245,-88.4175,-0.0013477,3,0,-11320.5,-2.52808e-005,999985,28.855,0.835,
2011/January/24,129.1,0.0934234,0.0958993,3,100,102,29.495,0.76,0.233809,0.289375,0.96463,-0.0678579,0.896772,0.00407856,0.00554268,-88.4175,0.0125972,3,0,-11384.4,-6.39807e-005,999921,4.745,5.14,
2011/January/25,129.17,0.0922079,0.100797,3,100,101,29.515,0.72,0.227876,0.287416,0.968721,-0.0655018,0.903219,0.00379865,0.00545404,-88.4175,0.0190442,3,0,-11390.7,-6.20971e-006,999915,4.685,5.02,
2011/January/26,129.67,0.0434741,0.0855432,3,100,100,30.17,0.625,0.255431,0.282448,0.956326,-0.0591259,0.8972,0.00445709,0.00512985,-88.4175,0.0130245,3,0,-11434.3,-4.36525e-005,999872,4.35,4.975,
2011/January/27,129.99,0.0304761,0.0719491,3,100,99,30.265,0.59,0.222958,0.282041,0.975174,-0.0565145,0.918659,0.00321487,0.00497097,-88.4175,0.034484,3,0,-11462.5,-2.82372e-005,999843,4.965,5.78,
2011/January/28,127.72,0.150318,0.08198,3,100,98,28.11,0.81,0.232836,0.290701,0.961832,-0.0732657,0.888567,0.00449575,0.00603635,-88.4175,0.00439135,3,0,-11263.8,0.000198804,1.00004e+006,5.085,6.25,
2011/January/31,128.68,0.155864,0.094468,3,100,97,29.055,0.735,0.236217,0.291546,0.964791,-0.0672256,0.897566,0.00413878,0.00562047,-88.4175,0.0133905,3,0,-11347.8,-8.40073e-005,999958,4.955,6.1,
2011/February/1,130.74,0.196113,0.115249,3,100,96,31.065,0.585,0.239725,0.290561,0.971387,-0.0550928,0.916294,0.00339957,0.00477572,-88.4175,0.0321188,3,0,-11528.1,-0.000180288,999778,4.83,5.855,
2011/February/2,130.485,0.197749,0.146104,3,100,95,30.69,0.6,0.210461,0.292217,0.983923,-0.0563681,0.927555,0.00239634,0.00487034,-88.4175,0.0433798,3,0,-11505.9,2.21914e-005,999800,5.18,5.55,
2011/February/3,130.78,0.197675,0.179544,3,100,94,31.12,0.575,0.244406,0.292832,0.97054,-0.05442,0.91612,0.00345169,0.00474162,-88.4175,0.0319452,3,0,-11531.5,-2.56833e-005,999774,4.75,5.725,
